filename,doc_type,url
# Course catalog uses PDF for now (no Google Doc available)
# 2025-2026 course catalog,catalog,

ACADEMIC RESPONSIBILITY POLICY,policy,https://docs.google.com/document/d/1_nQm_zrmDepHi1PVEqvm_Nxr0t6K4zc5/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
ACADEMIC STANDING,policy,https://docs.google.com/document/d/1eOCF1lhIRVpOg4Z3QM1q2vNmtmgtY4ti/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
ADVANCED PLACEMENT & CREDIT POLICY,policy,https://docs.google.com/document/d/1qY2XouZxspstTKgGoLXutNgEiLW7BLEX/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
CLASS ATTENDANCE POLICY,policy,https://docs.google.com/document/d/1Q4KOUY9N710yLS-s4wFfLSu4pMtUg0Ya/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
COLLEGE LEVEL EXAMINATION PROGRAM (CLEP) POLICY,policy,https://docs.google.com/document/d/1mw_ROuvlBNz3p1-WshZtA53AERQp3bZw/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
COURSE REGISTRATION & WITHDRAWAL POLICY,policy,https://docs.google.com/document/d/169CEGUzX_7IdEtpO4A3yydO2r35VFvwg/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
CREDIT BY EXAMINATION POLICY,policy,https://docs.google.com/document/d/1QbMFqzCTBItOiCN3enM5Gyvqg3Y_teTE/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
DECLARATION OF A MINOR POLICY,policy,https://docs.google.com/document/d/12ahTKumpuvFQ3xNihVc7MJSVsTyfy3XQ/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
DEGREE & GRADUATION REQUIREMENTS POLICY,policy,https://docs.google.com/document/d/1iwwSrVWdhsHTrXzR5nwwS8EdCNpp2oAw/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
DOUBLE COUNTING COURSES POLICY,policy,https://docs.google.com/document/d/1tgzJFVBmRLv0VRbVRM8ShaogkmiESAL_/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
GRADE APPEALS POLICY,policy,https://docs.google.com/document/d/1vfoNpHvaZUUKERGgr7XVMKr-8ylebCXR/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
GRADE REPLACEMENT POLICY,policy,https://docs.google.com/document/d/1u2po70gxBl6GY45ddXlY5xvNMz0YxiBg/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
INCOMPLETE GRADES POLICY,policy,https://docs.google.com/document/d/1v_Rv2bKSOiII-i2nFVEIPMqj4TGpxw99/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
INTERNATIONAL BACCALAUREATE (IB) & CAMBRIDGE INTERNATIONAL A LEVEL CREDIT POLICY,policy,https://docs.google.com/document/d/1XCgir0phG6LoNIaKFM9msiZWQI_GGAPq/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
SUPERIOR ACADEMIC ACHIEVEMENT (Honors Designations) POLICY,policy,https://docs.google.com/document/d/1-j6zIJJdjmm9fUvYfjHlWwWDd2T0shUM/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
TRANSFER OF ACADEMIC CREDIT,policy,https://docs.google.com/document/d/1xUX4rHSe6KCp8s2B9uxOT0EM7TxaE0O4/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
WITHDRAWAL & LEAVE OF ABSENCE & SUSPENSION POLICY,policy,https://docs.google.com/document/d/1-LcjoUQIJkFmXiAnIh6wZ3IDS_39shN3/edit?usp=sharing&ouid=113576103808604300430&rtpof=true&sd=true
